|                name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell | CODEX |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |  m200 | c200 | r200 |  d200 |
| ACT-CL J0150.6-4511 |  27.65106 | -45.18687 | 0.289 | 273.63 |  3.70 |    False |   False |  SPLUS-s35s16 |         |                         |       | PSZ2 G273.69-68.38 |                 |          |                   |       |  5.33 | 4.05 | 1.55 |  5.75 |
| ACT-CL J0151.1-5654 |  27.78347 | -56.91383 | 0.288 | 287.38 |  2.93 |    False |   False |  SPLUS-s44s12 |         |                         |       |                    |                 |          |                   |       |  4.22 | 4.05 | 1.43 |  5.34 |
| ACT-CL J0151.4-2421 |  27.86250 | -24.35015 | 0.414 | 204.66 |  3.59 |    False |   False |  SPLUS-s19s20 |         |                         |       |                    |                 |          |                   |       |  5.17 | 4.09 | 1.46 |  4.30 |
| ACT-CL J0151.6-2859 |  27.90433 | -28.99596 | 0.392 | 224.45 |  5.92 |    False |    True |  SPLUS-s23s19 |         |                         | 77013 | PSZ2 G224.40-76.54 |                 |          |                   |       |  8.46 | 4.22 | 1.73 |  5.28 |
| ACT-CL J0151.9-0523 |  27.99831 |  -5.38923 | 0.227 | 159.18 |  1.84 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  2.64 | 4.11 | 1.25 |  5.55 |
| ACT-CL J0152.2-4859 |  28.05500 | -48.99001 | 0.386 | 278.74 |  2.49 |    False |   False |  SPLUS-s38s15 |         |                         |       |                    |                 |          |                   |       |  3.59 | 4.04 | 1.31 |  4.02 |
| ACT-CL J0152.5-2853 |  28.14147 | -28.88793 | 0.413 | 223.92 |  7.74 |    False |    True |  SPLUS-s23s19 |         |                         | 77011 | PSZ2 G224.03-76.42 |                 |          |                   |       | 10.98 | 4.37 | 1.87 |  5.53 |
| ACT-CL J0152.6+0100 |  28.16984 |   1.00186 | 0.229 | 153.04 |  8.28 |    False |    True | STRIPE82_0042 |         |              ABELL 0267 | 55475 | PSZ2 G153.00-58.26 |                 |          |                   |       | 11.86 | 4.20 | 2.06 |  9.09 |
| ACT-CL J0153.5-0118 |  28.38376 |  -1.31065 | 0.244 | 155.50 |  2.50 |    False |   False | STRIPE82_0041 |         |                         | 55505 | PSZ2 G155.46-60.15 |                 |          |                   |       |  3.61 | 4.06 | 1.38 |  5.80 |
| ACT-CL J0153.9-0309 |  28.48932 |  -3.16662 | 0.443 | 157.58 |  2.62 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.78 | 4.05 | 1.30 |  3.67 |
| ACT-CL J0154.4-0801 |  28.61779 |  -8.02023 | 0.373 | 163.84 |  2.84 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.09 | 4.05 | 1.37 |  4.30 |
| ACT-CL J0154.4-0321 |  28.61828 |  -3.35947 | 0.442 | 158.02 |  7.24 |    False |    True |               |         |                         |       |                    |                 |          |                   |       | 10.27 | 4.36 | 1.81 |  5.14 |
| ACT-CL J0154.5-0039 |  28.63306 |  -0.65017 | 0.444 | 155.31 |  3.22 |    False |   False | STRIPE82_0041 |         |                         |       |                    |                 |          |                   |       |  4.64 | 4.08 | 1.39 |  3.93 |
| ACT-CL J0154.7-0824 |  28.67590 |  -8.41563 | 0.219 | 164.53 |  2.90 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.18 | 4.05 | 1.46 |  6.69 |
| ACT-CL J0155.0-0615 |  28.75101 |  -6.25560 | 0.128 | 161.70 |  1.96 |    False |   False |               |         |              ABELL 0274 | 60099 |                    |                 |          |                   |       |  2.81 | 4.15 | 1.32 |  9.33 |
| ACT-CL J0155.9-0859 |  28.98494 |  -8.98840 | 0.306 | 165.99 |  2.88 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.15 | 4.05 | 1.41 |  5.05 |
| ACT-CL J0156.4-5424 |  29.11391 | -54.41110 | 0.407 | 283.78 |  2.90 |    False |   False |  SPLUS-s42s14 |         |                         |       |                    |                 |          |                   |       |  4.17 | 4.05 | 1.36 |  4.05 |
| ACT-CL J0156.5-3352 |  29.13752 | -33.88333 | 0.408 | 242.65 |  2.62 |    False |   False |  SPLUS-s26s19 |         |                         |       |                    |                 |          |                   |       |  3.77 | 4.05 | 1.32 |  3.91 |
| ACT-CL J0156.6+0050 |  29.15939 |   0.84719 | 0.218 | 154.84 |  2.67 |    False |   False | STRIPE82_0044 |         |                         |       |                    |                 |          |                   |       |  3.85 | 4.06 | 1.42 |  6.53 |
| ACT-CL J0156.8-0424 |  29.22217 |  -4.40574 | 0.138 | 160.30 |  2.55 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.68 | 4.09 | 1.44 |  9.59 |
| ACT-CL J0157.2-5820 |  29.31179 | -58.34884 | 0.219 | 287.22 |  3.34 |    False |   False |  SPLUS-s45s13 |         |             ABELL S0208 | 94400 |                    |                 |          |                   |       |  4.81 | 4.04 | 1.53 |  6.99 |
| ACT-CL J0157.5-1247 |  29.39582 | -12.79576 | 0.326 | 173.39 |  3.78 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.45 | 4.07 | 1.54 |  5.26 |
| ACT-CL J0158.2-3815 |  29.56059 | -38.26587 | 0.368 | 255.64 |  4.21 |    False |   False |  SPLUS-s30s18 |         |                         |       |                    |                 |          |                   |       |  6.04 | 4.10 | 1.56 |  4.96 |
| ACT-CL J0158.4-0145 |  29.60334 |  -1.76327 | 0.163 | 158.08 |  2.11 |    False |   False |               |         |              ABELL 0286 | 55513 |                    |                 |          |                   |       |  3.02 | 4.12 | 1.34 |  7.72 |
| ACT-CL J0159.0-3413 |  29.75408 | -34.22240 | 0.413 | 243.12 |  9.06 |    False |    True |  SPLUS-s27s19 |         |                         | 80876 | PSZ2 G243.15-73.84 |                 |          |                   |       | 12.82 | 4.46 | 1.97 |  5.82 |
| ACT-CL J0159.0+0421 |  29.76279 |   4.35421 | 0.440 | 152.91 |  2.84 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.09 | 4.06 | 1.33 |  3.80 |
| ACT-CL J0159.2+0030 |  29.82073 |   0.50804 | 0.384 | 156.24 |  2.96 |    False |   False | STRIPE82_0044 |         |                         |       |                    |                 |          |                   |       |  4.27 | 4.05 | 1.38 |  4.27 |
| ACT-CL J0159.3-3331 |  29.83742 | -33.52254 | 0.411 | 240.66 |  5.98 |    False |    True |  SPLUS-s26s19 |         |                         | 80869 | PSZ2 G240.71-74.03 |                 |          |                   |       |  8.53 | 4.24 | 1.72 |  5.10 |
| ACT-CL J0159.5-0005 |  29.88333 |  -0.09578 | 0.155 | 156.90 |  2.03 |    False |   False | STRIPE82_0043 |         |                         |       |                    |                 |          |                   |       |  2.92 | 4.13 | 1.33 |  7.96 |
| ACT-CL J0159.8-0849 |  29.95932 |  -8.83065 | 0.405 | 167.59 |  9.41 |    False |    True |               |         |                         | 64550 | PSZ2 G167.66-65.59 |                 |          |                   |       | 13.30 | 4.48 | 2.00 |  5.98 |
| ACT-CL J0200.2-2134 |  30.07500 | -21.57918 | 0.333 | 197.17 |  3.19 |    False |   False |  SPLUS-s17s21 |         |                         |       |                    |                 |          |                   |       |  4.60 | 4.05 | 1.45 |  4.89 |
| ACT-CL J0200.3-2236 |  30.09589 | -22.60415 | 0.278 | 200.57 |  3.50 |    False |   False |  SPLUS-s18s21 |         |             ABELL S0213 | 72905 |                    |                 |          |                   |       |  5.05 | 4.05 | 1.52 |  5.83 |
| ACT-CL J0200.4-0839 |  30.10559 |  -8.65560 | 0.403 | 167.59 |  2.53 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.64 | 4.04 | 1.30 |  3.90 |
| ACT-CL J0201.6-0211 |  30.42381 |  -2.19892 | 0.196 | 159.93 |  4.02 |    False |   False |               |         |              ABELL 0291 | 55515 |                    |                 |          |                   |       |  5.79 | 4.04 | 1.65 |  8.19 |
| ACT-CL J0202.0-1703 |  30.50388 | -17.05955 | 0.310 | 184.89 |  4.10 |    False |   False |  SPLUS-s14s22 |         |                         |       |                    |                 |          |                   |       |  5.90 | 4.07 | 1.59 |  5.62 |
| ACT-CL J0202.0-1004 |  30.51257 | -10.07500 | 0.259 | 170.59 |  2.90 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.18 | 4.05 | 1.44 |  5.80 |
| ACT-CL J0203.0-0042 |  30.75104 |  -0.70721 | 0.435 | 158.93 |  2.75 |    False |   False | STRIPE82_0045 |         |                         |       |                    |                 |          |                   |       |  3.96 | 4.05 | 1.32 |  3.78 |
| ACT-CL J0203.1-2017 |  30.79361 | -20.28691 | 0.439 | 194.13 |  7.86 |    False |    True |               |         |                         | 72869 |                    |                 |          |                   |       | 11.16 | 4.41 | 1.87 |  5.31 |
| ACT-CL J0203.4-0949 |  30.87342 |  -9.82350 | 0.322 | 170.82 |  4.44 |    False |   False |               |         |                         | 64565 |                    |                 |          |                   |       |  6.38 | 4.09 | 1.62 |  5.61 |
| ACT-CL J0203.7+0216 |  30.93248 |   2.26780 | 0.350 | 156.43 |  2.62 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.78 | 4.04 | 1.35 |  4.40 |
| ACT-CL J0204.4-4802 |  31.12422 | -48.04382 | 0.266 | 273.56 |  2.77 |    False |   False |  SPLUS-s37s17 |         |                         |       |                    |                 |          |                   |       |  4.00 | 4.05 | 1.42 |  5.59 |
| ACT-CL J0204.5-4440 |  31.13733 | -44.68154 | 0.415 | 267.89 |  2.84 |    False |   False |  SPLUS-s34s18 |         |                         |       |                    |                 |          |                   |       |  4.09 | 4.05 | 1.35 |  3.96 |
| ACT-CL J0204.7-0116 |  31.19063 |  -1.28232 | 0.296 | 160.23 |  2.13 |    False |   False | STRIPE82_0045 |         |                         |       |                    |                 |          |                   |       |  3.06 | 4.06 | 1.28 |  4.69 |
| ACT-CL J0205.1-4125 |  31.29900 | -41.43079 | 0.396 | 261.06 |  3.62 |    False |   False |  SPLUS-s32s18 |         |                         |       |                    |                 |          |                   |       |  5.22 | 4.08 | 1.47 |  4.46 |
| ACT-CL J0205.4-2446 |  31.37497 | -24.77084 | 0.217 | 209.02 |  3.01 |    False |   False |               |         |              ABELL 0302 | 72942 |                    |                 |          |                   |       |  4.34 | 4.05 | 1.48 |  6.80 |
| ACT-CL J0205.8-4130 |  31.46371 | -41.50348 | 0.412 | 261.01 |  3.34 |    False |   False |  SPLUS-s32s19 |         |                         |       |                    |                 |          |                   |       |  4.82 | 4.07 | 1.42 |  4.21 |
| ACT-CL J0206.4-0118 |  31.60830 |  -1.30836 | 0.198 | 160.93 |  2.31 |    False |   False | STRIPE82_0045 |         |                         |       |                    |                 |          |                   |       |  3.33 | 4.09 | 1.37 |  6.75 |
| ACT-CL J0206.8-0657 |  31.71457 |  -6.95839 | 0.428 | 167.96 |  2.61 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.75 | 4.05 | 1.30 |  3.76 |
| ACT-CL J0208.2-0716 |  32.05833 |  -7.27083 | 0.431 | 168.98 |  2.38 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.43 | 4.04 | 1.26 |  3.63 |
| ACT-CL J0209.0-2730 |  32.27250 | -27.50868 | 0.313 | 218.67 |  4.43 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  6.39 | 4.09 | 1.63 |  5.73 |
| ACT-CL J0209.6-1254 |  32.40416 | -12.91667 | 0.254 | 178.94 |  3.40 |    False |   False |               |         |              ABELL 0314 |       |                    |                 |          |                   |       |  4.90 | 4.05 | 1.52 |  6.22 |
| ACT-CL J0209.6+0222 |  32.40553 |   2.37788 | 0.406 | 158.57 |  4.01 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.76 | 4.11 | 1.52 |  4.51 |
| ACT-CL J0209.9-3548 |  32.47925 | -35.80007 | 0.310 | 245.24 |  2.77 |    False |   False |  SPLUS-s28s20 |         |                         |       |                    |                 |          |                   |       |  3.98 | 4.05 | 1.39 |  4.93 |
| ACT-CL J0210.1+0254 |  32.54886 |   2.90721 | 0.150 | 158.31 |  2.16 |    False |   False |               |         |              ABELL 0313 | 51077 |                    |                 |          |                   |       |  3.11 | 4.12 | 1.36 |  8.38 |
| ACT-CL J0210.5-1610 |  32.63333 | -16.17078 | 0.428 | 186.11 |  3.70 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.32 | 4.10 | 1.46 |  4.23 |
| ACT-CL J0210.9-0611 |  32.73739 |  -6.19352 | 0.429 | 168.60 |  2.86 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.12 | 4.06 | 1.34 |  3.87 |
| ACT-CL J0211.1-2032 |  32.79543 | -20.53603 | 0.403 | 197.32 |  3.70 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.32 | 4.09 | 1.48 |  4.42 |
| ACT-CL J0211.1-0453 |  32.80000 |  -4.89570 | 0.139 | 166.99 |  2.20 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.15 | 4.12 | 1.37 |  9.01 |
| ACT-CL J0211.3-4014 |  32.83747 | -40.23754 | 0.114 | 256.46 |  2.90 |    False |    True |  SPLUS-s31s20 |         |              ABELL 2984 |       |                    |                 |          |                   |       |  4.17 | 4.08 | 1.52 | 11.88 |
| ACT-CL J0211.8-1701 |  32.96393 | -17.03064 | 0.171 | 188.58 |  3.49 |    False |   False |               |         |              ABELL 2985 | 68800 | PSZ2 G188.57-68.86 |                 |          |                   |       |  5.03 | 4.04 | 1.58 |  8.79 |
| ACT-CL J0212.5-0037 |  33.14443 |  -0.62599 | 0.419 | 162.61 |  2.48 |    False |   False | STRIPE82_0047 |         |                         |       |                    |                 |          |                   |       |  3.57 | 4.04 | 1.29 |  3.76 |
| ACT-CL J0212.8-1123 |  33.21663 | -11.39851 | 0.334 | 177.44 |  4.44 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  6.39 | 4.10 | 1.61 |  5.44 |
| ACT-CL J0213.1-2758 |  33.29368 | -27.96985 | 0.323 | 220.33 |  3.34 |    False |   False |               |         |             ABELL S0231 |       |                    |                 |          |                   |       |  4.82 | 4.05 | 1.48 |  5.08 |
| ACT-CL J0213.8-4839 |  33.45411 | -48.65833 | 0.222 | 271.90 |  2.29 |    False |   False |  SPLUS-s38s17 |         |             ABELL S0234 |       |                    |                 |          |                   |       |  3.29 | 4.08 | 1.35 |  6.09 |
| ACT-CL J0213.9-4531 |  33.47694 | -45.52369 | 0.438 | 266.65 |  3.24 |    False |   False |  SPLUS-s35s19 |         |                         |       |                    |                 |          |                   |       |  4.67 | 4.08 | 1.40 |  3.98 |
| ACT-CL J0214.0-3349 |  33.52297 | -33.82841 | 0.238 | 238.63 |  4.18 |    False |   False |  SPLUS-s26s22 |         |             ABELL S0235 | 80957 |                    |                 |          |                   |       |  6.03 | 4.05 | 1.64 |  7.03 |
| ACT-CL J0214.1-4437 |  33.53168 | -44.63007 | 0.299 | 264.94 |  2.39 |    False |   False |  SPLUS-s34s19 |         |                         |       |                    |                 |          |                   |       |  3.44 | 4.05 | 1.33 |  4.84 |
| ACT-CL J0214.4-0628 |  33.61395 |  -6.46754 | 0.237 | 170.36 |  2.48 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.57 | 4.06 | 1.38 |  5.93 |
| ACT-CL J0214.7-0432 |  33.67881 |  -4.54859 | 0.139 | 167.93 |  1.53 |    False |   False |               |         |              ABELL 0329 | 60076 | PSZ2 G167.98-59.95 |                 |          |                   |       |  2.19 | 4.22 | 1.21 |  8.00 |
| ACT-CL J0214.8-3632 |  33.70331 | -36.53421 | 0.248 | 246.18 |  2.87 |    False |   False |  SPLUS-s28s21 |         |              ABELL 2993 | 80999 |                    |                 |          |                   |       |  4.13 | 4.05 | 1.44 |  6.00 |
| ACT-CL J0214.8-4639 |  33.70402 | -46.65748 | 0.313 | 268.39 |  3.47 |    False |   False |  SPLUS-s36s18 |         |                         | 88149 |                    |                 |          |                   |       |  5.00 | 4.05 | 1.50 |  5.28 |
| ACT-CL J0215.3-2217 |  33.84672 | -22.29334 | 0.291 | 203.29 |  3.25 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.68 | 4.05 | 1.48 |  5.48 |
| ACT-CL J0215.4-0440 |  33.86667 |  -4.67087 | 0.351 | 168.38 |  2.21 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.19 | 4.05 | 1.27 |  4.15 |
| ACT-CL J0215.8-0041 |  33.95836 |  -0.69997 | 0.428 | 163.90 |  2.33 |    False |   False | STRIPE82_0049 |         |                         |       |                    |                 |          |                   |       |  3.35 | 4.04 | 1.25 |  3.62 |
| ACT-CL J0216.2-4816 |  34.06809 | -48.27702 | 0.171 | 270.67 |  3.63 |    False |   False |  SPLUS-s37s18 |         |              ABELL 2998 |       |                    |                 |          | MCXC J0216.3-4816 |       |  5.23 | 4.04 | 1.60 |  8.90 |
| ACT-CL J0216.3-4830 |  34.07600 | -48.51349 | 0.434 | 271.03 |  4.40 |    False |   False |  SPLUS-s37s18 |         |                         |       |                    |                 |          |                   |       |  6.32 | 4.15 | 1.55 |  4.43 |
| ACT-CL J0217.1-5244 |  34.29938 | -52.74482 | 0.343 | 276.82 |  3.39 |    False |   False |  SPLUS-s41s16 |         |                         | 91480 | PSZ2 G276.75-59.82 |                 |          | MCXC J0217.2-5244 |       |  4.88 | 4.06 | 1.47 |  4.87 |
| ACT-CL J0217.5-3200 |  34.37913 | -32.00833 | 0.354 | 232.74 |  2.45 |    False |   False |  SPLUS-s25s23 |         |                         |       |                    |                 |          |                   |       |  3.53 | 4.04 | 1.31 |  4.26 |
| ACT-CL J0217.8-2511 |  34.45997 | -25.18658 | 0.398 | 212.09 |  3.60 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.18 | 4.08 | 1.47 |  4.43 |
| ACT-CL J0218.3-3142 |  34.58501 | -31.70339 | 0.270 | 231.75 |  6.08 |    False |    True |  SPLUS-s25s23 |         |                         | 80919 | PSZ2 G231.74-70.59 |                 |          |                   |       |  8.74 | 4.14 | 1.84 |  7.17 |
| ACT-CL J0219.0-2152 |  34.77500 | -21.87914 | 0.256 | 202.96 |  2.17 |    False |   False |               |         |              ABELL 0343 |       |                    |                 |          |                   |       |  3.12 | 4.07 | 1.31 |  5.32 |
| ACT-CL J0219.9+0130 |  34.97790 |   1.50311 | 0.365 | 163.12 |  4.15 |    False |   False | STRIPE82_0052 |         |                         |       |                    |                 |          |                   |       |  5.96 | 4.10 | 1.56 |  4.96 |
| ACT-CL J0219.9+0246 |  34.97903 |   2.78332 | 0.255 | 161.89 |  2.24 |    False |   False |               |         |              ABELL 0342 |       |                    |                 |          |                   |       |  3.22 | 4.07 | 1.32 |  5.40 |
| ACT-CL J0220.6-3300 |  35.16465 | -33.00004 | 0.388 | 235.29 |  3.13 |    False |   False |  SPLUS-s26s23 |         |                         |       |                    |                 |          |                   |       |  4.51 | 4.06 | 1.41 |  4.31 |
| ACT-CL J0220.9-3828 |  35.23565 | -38.48037 | 0.228 | 249.83 |  4.76 |    False |   False |  SPLUS-s30s21 |         |                         |       | PSZ2 G249.80-68.11 |                 |          |                   |       |  6.86 | 4.06 | 1.72 |  7.61 |
| ACT-CL J0221.7-0346 |  35.43966 |  -3.77285 | 0.433 | 169.59 |  4.38 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  6.29 | 4.15 | 1.54 |  4.43 |
| ACT-CL J0222.3-3655 |  35.58164 | -36.93005 | 0.299 | 245.67 |  2.57 |    False |   False |  SPLUS-s29s22 |         |             ABELL S0249 |       |                    |                 |          |                   |       |  3.71 | 4.05 | 1.36 |  4.96 |
| ACT-CL J0223.4-2752 |  35.86769 | -27.87991 | 0.436 | 220.38 |  3.25 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.68 | 4.08 | 1.40 |  3.99 |
| ACT-CL J0223.9-0835 |  35.99465 |  -8.59957 | 0.275 | 177.00 |  3.89 |    False |   False |               |         |              ABELL 0348 |       |                    |                 |          |                   |       |  5.60 | 4.06 | 1.58 |  6.09 |
| ACT-CL J0224.2-3948 |  36.05333 | -39.81503 | 0.237 | 252.27 |  2.55 |    False |   False |  SPLUS-s31s22 |         |                         |       |                    |                 |          |                   |       |  3.68 | 4.06 | 1.39 |  5.99 |
| ACT-CL J0224.2-4253 |  36.05761 | -42.89702 | 0.404 | 258.93 |  2.32 |    False |   False |  SPLUS-s33s21 |         |                         |       |                    |                 |          |                   |       |  3.34 | 4.04 | 1.27 |  3.78 |
| ACT-CL J0224.3-4522 |  36.09875 | -45.37374 | 0.430 | 263.67 |  2.94 |    False |   False |  SPLUS-s35s20 |         |                         |       |                    |                 |          |                   |       |  4.24 | 4.06 | 1.36 |  3.90 |
| ACT-CL J0224.5-0730 |  36.13962 |  -7.50016 | 0.277 | 175.58 |  2.39 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.45 | 4.06 | 1.34 |  5.14 |
| ACT-CL J0224.8-3811 |  36.20597 | -38.19650 | 0.280 | 248.33 |  2.42 |    False |   False |  SPLUS-s30s22 |         |                         |       |                    |                 |          |                   |       |  3.49 | 4.06 | 1.35 |  5.12 |
| ACT-CL J0225.7-3551 |  36.44434 | -35.85060 | 0.291 | 242.30 |  3.51 |    False |   False |  SPLUS-s28s23 |         |             ABELL S0260 |       |                    |                 |          |                   |       |  5.05 | 4.05 | 1.52 |  5.62 |
| ACT-CL J0225.8-4154 |  36.46784 | -41.90901 | 0.220 | 256.50 |  3.33 |    False |   False |  SPLUS-s32s21 |         |              ABELL 3017 | 84568 | PSZ2 G256.53-65.70 |                 |          | MCXC J0225.9-4154 |       |  4.80 | 4.04 | 1.53 |  6.98 |
| ACT-CL J0227.1-2851 |  36.78305 | -28.86009 | 0.214 | 223.23 |  3.15 |    False |   False |               |         |                         | 77089 | PSZ2 G223.16-68.81 |                 |          |                   |       |  4.53 | 4.05 | 1.51 |  7.00 |
| ACT-CL J0227.2-2059 |  36.80280 | -20.98892 | 0.234 | 202.42 |  2.85 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.11 | 4.05 | 1.45 |  6.27 |
| ACT-CL J0227.3-2411 |  36.82892 | -24.19904 | 0.393 | 210.58 |  3.76 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.42 | 4.09 | 1.49 |  4.53 |
| ACT-CL J0228.2-1156 |  37.06662 | -11.94370 | 0.206 | 183.90 |  3.71 |    False |   False |               |         |              ABELL 0355 | 64671 |                    |                 |          |                   |       |  5.34 | 4.04 | 1.60 |  7.63 |
| ACT-CL J0228.3-2426 |  37.08059 | -24.43890 | 0.304 | 211.34 |  2.96 |    False |   False |               |         |              ABELL 3022 | 73013 |                    |                 |          |                   |       |  4.26 | 4.05 | 1.43 |  5.12 |
| ACT-CL J0229.6-0336 |  37.41049 |  -3.61119 | 0.323 | 172.14 |  3.11 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.48 | 4.05 | 1.44 |  4.97 |
| ACT-CL J0230.8-2702 |  37.71217 | -27.03730 | 0.410 | 218.43 |  4.13 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.94 | 4.12 | 1.53 |  4.53 |
| ACT-CL J0230.9+0248 |  37.73213 |   2.80379 | 0.248 | 165.54 |  2.71 |    False |   False |               |         |              ABELL 0359 | 51083 |                    |                 |          |                   |       |  3.90 | 4.05 | 1.41 |  5.88 |
| ACT-CL J0231.7-0453 |  37.93595 |  -4.88600 | 0.185 | 174.45 |  4.07 |    False |   False |               |         |              ABELL 0362 | 60155 | PSZ2 G174.40-57.33 |                 |          |                   |       |  5.87 | 4.04 | 1.66 |  8.64 |
| ACT-CL J0232.2-4421 |  38.06971 | -44.35128 | 0.284 | 259.98 | 12.30 |     True |   False |  SPLUS-s34s21 |         |                         | 88216 | PSZ2 G259.98-63.43 |                 |          | MCXC J0232.2-4420 |       | 17.39 | 4.48 | 2.30 |  8.66 |
| ACT-CL J0233.2+0448 |  38.31246 |   4.80833 | 0.287 | 164.38 |  2.86 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.12 | 4.05 | 1.42 |  5.32 |
| ACT-CL J0233.2-1552 |  38.32296 | -15.87480 | 0.291 | 192.68 |  3.63 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.23 | 4.05 | 1.53 |  5.68 |
| ACT-CL J0233.3-5334 |  38.32634 | -53.58198 | 0.381 | 274.51 |  3.06 |    False |   False |  SPLUS-s41s18 |         |                         |       |                    |                 |          |                   |       |  4.40 | 4.05 | 1.40 |  4.34 |
| ACT-CL J0233.6-0530 |  38.40524 |  -5.50812 | 0.434 | 175.88 |  4.01 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.75 | 4.12 | 1.50 |  4.29 |
| ACT-CL J0234.1-1754 |  38.52970 | -17.90623 | 0.433 | 197.03 |  4.18 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  6.01 | 4.13 | 1.52 |  4.37 |
| ACT-CL J0234.3-3342 |  38.57853 | -33.70501 | 0.217 | 235.78 |  2.53 |    False |   False |  SPLUS-s26s25 |         |             ABELL S0278 |       |                    |                 |          |                   |       |  3.65 | 4.07 | 1.40 |  6.41 |
| ACT-CL J0234.3-2122 |  38.59581 | -21.37511 | 0.318 | 204.75 |  2.93 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.22 | 4.05 | 1.41 |  4.93 |
| ACT-CL J0234.6-0259 |  38.66038 |  -2.99690 | 0.413 | 173.03 |  2.29 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.30 | 4.04 | 1.26 |  3.70 |
| ACT-CL J0234.7-5831 |  38.67833 | -58.52132 | 0.415 | 280.27 |  6.96 |    False |    True |  SPLUS-s45s16 |         |                         | 94478 | PSZ2 G280.23-53.84 |                 |          |                   |       |  9.91 | 4.31 | 1.81 |  5.32 |
| ACT-CL J0235.7-5120 |  38.94935 | -51.34696 | 0.278 | 270.91 |  5.83 |    False |    True |  SPLUS-s40s19 |         |                         | 91463 | PSZ2 G270.93-58.78 |                 |          |                   |       |  8.37 | 4.13 | 1.80 |  6.91 |
| ACT-CL J0235.9-0951 |  38.98333 |  -9.86255 | 0.350 | 182.89 |  3.18 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.59 | 4.05 | 1.44 |  4.70 |
| ACT-CL J0236.6-4450 |  39.15417 | -44.84999 | 0.210 | 260.02 |  2.29 |    False |   False |  SPLUS-s34s22 |         |             ABELL S0286 |       |                    |                 |          |                   |       |  3.30 | 4.08 | 1.36 |  6.40 |
| ACT-CL J0236.8-0944 |  39.21281 |  -9.74167 | 0.343 | 182.98 |  3.18 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.58 | 4.05 | 1.44 |  4.77 |
| ACT-CL J0236.9-4937 |  39.24531 | -49.62944 | 0.334 | 268.09 |  3.56 |    False |   False |  SPLUS-s38s20 |         |                         | 91439 |                    |                 |          |                   |       |  5.13 | 4.06 | 1.50 |  5.05 |
| ACT-CL J0237.4-2630 |  39.36562 | -26.50899 | 0.224 | 217.52 |  7.77 |    False |    True |               |         |              ABELL 0368 | 77148 |                    |                 |          |                   |       | 11.13 | 4.17 | 2.02 |  9.07 |
| ACT-CL J0237.6-0423 |  39.40657 |  -4.39169 | 0.447 | 175.71 |  2.42 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.48 | 4.04 | 1.26 |  3.55 |
| ACT-CL J0237.7-4151 |  39.43193 | -41.86430 | 0.408 | 253.99 |  3.44 |    False |   False |  SPLUS-s32s23 |         |             ABELL S0289 |       |                    |                 |          |                   |       |  4.96 | 4.08 | 1.44 |  4.29 |
