|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z |  m500 | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |      r500_ACT_corr |           r500_ACT |      r500_PSZ_corr |           r500_PSZ |        r500_X_corr |             r500_r |  m200 | c200 | r200 |  d200 |
|  PSZ2 G277.76-51.74 |  GCAV |  SPT-ClJ0254.8587 |  PSZ2 G277.76-51.74 |       |           | 02:54:16.4 | -58:57:38 | 0.438 | 12.69 |   0.38 |   0.37 | 02:54:16.4 | -58:57:38 |  0.44 |     9.69 |       0.38 |       0.37 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         12.69 |               | 1.45 |                    |                    | 1.4093707266238062 |  1.288188145855868 |                    | 1.4381881458558678 | 17.72 | 4.78 | 2.18 |  6.21 |
|  PSZ2 G284.97-23.69 |  GCAV |                   |  PSZ2 G284.97-23.69 |    24 |        15 | 07:23:21.4 | -73:26:21 |  0.39 | 11.39 |   0.34 |   0.33 | 07:23:21.4 | -73:26:21 |  0.39 |     8.39 |       0.34 |       0.33 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         11.39 |               | 1.43 |                    |                    | 1.3850167774465991 | 1.2508381345350743 |                    | 1.4008381345350742 | 16.01 | 4.59 | 2.14 |  6.55 |
|  PSZ2 G285.63-17.23 |       |                   |  PSZ2 G285.63-17.23 |    27 |        64 | 08:44:10.5 | -71:12:07 |  0.35 |  9.64 |   0.41 |   0.40 | 08:44:10.5 | -71:12:07 |  0.35 |     6.64 |       0.41 |       0.40 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.64 |               | 1.35 |                    |                    |  1.330311337724682 |  1.174853299496653 |                    | 1.3248532994966529 | 13.67 | 4.41 | 2.07 |  6.76 |
|  PSZ2 G286.98+32.90 |  GCAV |                   |  PSZ2 G286.98+32.90 |    35 |         0 | 11:50:49.4 | -28:05:07 |  0.39 | 17.69 |   0.42 |   0.39 | 11:50:49.4 | -28:05:07 |  0.39 |    14.69 |       0.42 |       0.39 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         17.69 |               | 1.57 |                    |                    |  1.603945979321581 | 1.5076055405565303 |                    | 1.6576055405565302 | 24.47 | 5.04 | 2.47 |  7.55 |
|  PSZ2 G288.63-37.66 |       |                   |  PSZ2 G288.63-37.66 |    10 |        69 | 03:52:14.6 | -74:00:30 | 0.127 |  9.44 |   0.20 |   0.19 | 03:52:14.6 | -74:00:30 |  0.13 |     6.44 |       0.20 |       0.19 |           |                     |            |           |       |          |            |            | J0352.4-7401 | MS0353.3-7411      |  EMSS         |  2.276006 |   3.09 |   0.99 |        6.49 |          9.44 |               | 1.30 |                    |                    | 1.4318451331661588 | 1.2604743295069225 | 1.2638578200894794 | 1.4104743295069224 | 13.56 | 4.15 | 2.24 | 15.90 |
|  PSZ2 G292.56+21.97 |       |                   |  PSZ2 G292.56+21.97 |    36 |        21 | 12:01:11.9 | -39:53:01 |   0.3 | 10.93 |   0.46 |   0.44 | 12:01:11.9 | -39:53:01 |   0.3 |     7.93 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.93 |               | 1.39 |                    |                    | 1.4135618575698339 | 1.2701816270470623 |                    | 1.4201816270470622 | 15.50 | 4.42 | 2.20 |  7.97 |
|  PSZ2 G294.68-37.01 |       |                   |  PSZ2 G294.68-37.01 |     5 |        46 | 03:03:57.8 | -77:54:11 | 0.274 |  9.99 |   0.32 |   0.29 | 03:03:57.8 | -77:54:11 |  0.27 |     6.99 |       0.32 |       0.29 |           |                     |            |           |       |          |            |            | J0303.7-7752 | RXCJ0303.7-7752    |  NORAS/REFLEX |  6.344215 |   5.17 |   1.11 |        8.57 |          9.99 |               | 1.33 |                    |                    | 1.3851129066135208 | 1.2296713991535602 | 1.3160376863036722 |   1.37967139915356 | 14.21 | 4.33 | 2.16 |  8.33 |
|  PSZ2 G304.84-41.40 |   SMC |                   |  PSZ2 G304.84-41.40 |       |           | 00:28:16.7 | -75:38:02 |  0.41 | 10.65 |   0.38 |   0.35 | 00:28:16.7 | -75:38:02 |  0.41 |     7.65 |       0.38 |       0.35 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.65 |               | 1.45 |                    |                    | 1.3439322954681665 | 1.2035976548562288 |                    | 1.3535976548562287 | 14.99 | 4.57 | 2.08 |  6.17 |
|  PSZ2 G306.66+61.06 |       |                   |  PSZ2 G306.66+61.06 |    39 |           | 12:58:42.0 | -01:45:55 | 0.085 |  8.05 |   1.91 |   2.35 | 12:58:39.6 | -01:44:58 |  0.08 |     4.45 |       0.25 |       0.24 |        38 | ACT-CL J1258.7-0145 | 12:58:42.0 | -01:45:55 |  0.08 |     8.05 |       1.91 |       2.35 | J1258.6-0145 | RXCJ1258.6-0145    |  NORAS/REFLEX |  3.470646 |   4.12 |   1.10 |        7.52 |          7.45 |          8.05 | 1.36 | 1.3768588391424794 | 1.3768588391424794 | 1.3417642441906599 | 1.1299974424570693 | 1.3460310991256477 | 1.3768588391424794 | 11.60 | 4.07 | 2.16 | 21.80 |
|  PSZ2 G307.56-10.74 |       |                   |  PSZ2 G307.56-10.74 |    47 |        24 | 13:54:38.5 | -73:02:38 |  0.25 | 10.75 |   0.52 |   0.51 | 13:54:38.5 | -73:02:38 |  0.25 |     7.75 |       0.52 |       0.51 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.75 |               | 1.41 |                    |                    | 1.4319288389917542 |  1.283963019010585 |                    |  1.433963019010585 | 15.30 | 4.34 | 2.23 |  9.20 |
|  PSZ2 G308.44+24.24 |       |                   |  PSZ2 G308.44+24.24 |    43 |        74 | 13:17:06.7 | -38:21:20 | 0.255 |  9.29 |   0.55 |   0.55 | 13:17:06.7 | -38:21:20 |  0.26 |     6.29 |       0.55 |       0.55 |           |                     |            |           |       |          |            |            | J1317.1-3821 | RXCJ1317.1-3821    |  NORAS/REFLEX |  7.145512 |   5.64 |   1.15 |        9.04 |          9.29 |               | 1.35 |                    |                    | 1.3614383403491368 | 1.1954817593478702 | 1.3491346229515726 |   1.34548175934787 | 13.26 | 4.27 | 2.12 |  8.63 |
|  PSZ2 G309.43-72.86 |       |                   |  PSZ2 G309.43-72.86 |     0 |           | 00:40:49.6 | -44:07:56 |  0.35 | 10.29 |   1.92 |   2.18 | 00:40:46.6 | -44:07:58 |  0.35 |     5.82 |       0.57 |       0.54 |        19 | ACT-CL J0040.8-4407 | 00:40:49.6 | -44:07:56 |  0.35 |    10.29 |       1.92 |       2.18 |              |                    |               |           |        |        |             |          8.82 |         10.29 | 1.49 |  1.359563216413586 |  1.359563216413586 | 1.2914684752128789 | 1.1243510833045647 |                    |  1.359563216413586 | 14.55 | 4.45 | 2.11 |  6.90 |
|  PSZ2 G313.33+61.13 |       |                   |  PSZ2 G313.33+61.13 |    41 |        13 | 13:11:30.8 | -01:19:55 | 0.201 | 14.06 |   2.83 |   3.30 | 13:11:26.4 | -01:20:10 |  0.18 |     8.77 |       0.34 |       0.34 |         5 | ACT-CL J1311.5-0119 | 13:11:30.8 | -01:19:55 |   0.2 |    14.06 |       2.83 |       3.30 | J1311.5-0120 | RXCJ1311.4-0120    |  NORAS/REFLEX | 12.524024 |   8.39 |   1.35 |       11.79 |         11.77 |         14.06 | 1.57 | 1.5938092646244917 | 1.5938092646244917 | 1.5021042021125832 | 1.3617825701797293 | 1.5030395100766227 | 1.5938092646244917 | 19.88 | 4.44 | 2.48 | 12.07 |
|  PSZ2 G313.84+19.21 |       |                   |  PSZ2 G313.84+19.21 |    45 |        59 | 13:47:32.6 | -42:27:37 | 0.282 |  9.69 |   0.55 |   0.54 | 13:47:32.6 | -42:27:37 |  0.28 |     6.69 |       0.55 |       0.54 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.69 |               | 1.38 |                    |                    | 1.3670601503728466 | 1.2082451785028985 |                    | 1.3582451785028984 | 13.79 | 4.32 | 2.13 |  8.05 |
|  PSZ2 G313.88-17.11 |       |                   |  PSZ2 G313.88-17.11 |    55 |        18 | 16:01:45.3 | -75:45:26 | 0.153 | 11.03 |   0.28 |   0.26 | 16:01:45.3 | -75:45:26 |  0.15 |     8.03 |       0.28 |       0.26 |           |                     |            |           |       |          |            |            | J1601.7-7544 | RXC J1601.7-7544   |  CIZA         |  8.707393 |   6.88 |   1.28 |       10.28 |         11.03 |               | 1.39 |                    |                    | 1.4948033312404694 | 1.3447165025681398 |  1.459935216545627 | 1.4947165025681397 | 15.74 | 4.23 | 2.33 | 14.15 |
|  PSZ2 G314.96+10.06 |       |                   |  PSZ2 G314.96+10.06 |    49 |        51 | 14:07:36.1 | -51:01:15 | 0.097 |  9.83 |   0.29 |   0.31 | 14:07:36.1 | -51:01:15 |   0.1 |     6.83 |       0.29 |       0.31 |           |                     |            |           |       |          |            |            | J1407.8-5100 | RXC J1407.8-5100   |  CIZA         |  3.918665 |   4.40 |   1.12 |        7.80 |          9.83 |               | 1.39 |                    |                    | 1.4658876577105557 | 1.2983439249632729 |  1.357142711042421 | 1.4483439249632728 | 14.12 | 4.13 | 2.29 | 20.60 |
|  PSZ2 G315.68-18.04 |       |                   |  PSZ2 G315.68-18.04 |    56 |        71 | 16:31:20.9 | -75:08:37 | 0.105 |  9.42 |   0.21 |   0.22 | 16:31:20.9 | -75:08:37 |   0.1 |     6.42 |       0.21 |       0.22 |           |                     |            |           |       |          |            |            | J1631.6-7507 | RXC J1631.6-7507   |  CIZA         |  3.829575 |   4.31 |   1.11 |        7.71 |          9.42 |               | 1.39 |                    |                    |  1.441401399715118 | 1.2684683862898178 | 1.3485142910666887 | 1.4184683862898178 | 13.53 | 4.12 | 2.25 | 18.88 |
|  PSZ2 G323.30+63.66 |       |                   |  PSZ2 G323.30+63.66 |    44 |        70 | 13:27:01.4 | +02:12:13 |  0.26 |  6.47 |   1.28 |   1.48 | 13:26:59.4 | +02:12:42 |  0.26 |     6.42 |       0.45 |       0.42 |        71 | ACT-CL J1327.0+0212 | 13:27:01.4 | +02:12:13 |  0.26 |     6.47 |       1.28 |       1.48 |              |                    |               |           |        |        |             |          9.42 |          6.47 | 1.19 |  1.204572609728144 |  1.204572609728144 | 1.3652594493102617 |  1.201461612896857 |                    |  1.204572609728144 |  9.29 | 4.15 | 1.88 |  7.55 |
|  PSZ2 G325.70+17.34 |  P109 |                   |  PSZ2 G325.70+17.34 |    50 |        28 | 14:47:26.6 | -40:20:44 | 0.315 | 10.57 |   0.57 |   0.51 | 14:47:26.6 | -40:20:44 |  0.32 |     7.57 |       0.57 |       0.51 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.57 |               | 1.47 |                    |                    | 1.3900447218768468 | 1.2436621118560802 |                    | 1.3936621118560801 | 14.99 | 4.42 | 2.16 |  7.58 |
|  PSZ2 G333.89-43.60 |       |                   |  PSZ2 G333.89-43.60 |    60 |        62 | 21:37:49.7 | -60:07:12 | 0.318 |  9.66 |   0.51 |   0.47 | 21:37:49.7 | -60:07:12 |  0.32 |     6.66 |       0.51 |       0.47 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.66 |               | 1.46 |                    |                    | 1.3474320037732463 | 1.1903441975606346 |                    | 1.3403441975606345 | 13.70 | 4.37 | 2.09 |  7.30 |
|  PSZ2 G337.12-66.02 |  P107 |                   |  PSZ2 G337.12-66.02 |       |           | 23:35:05.4 | -45:42:28 | 0.547 | 10.12 |   0.59 |   0.56 | 23:35:05.4 | -45:42:28 |  0.55 |     7.12 |       0.59 |       0.56 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.12 |               | 1.48 |                    |                    | 1.2520956521300166 | 1.1136208012934756 |                    | 1.2636208012934755 | 14.13 | 4.77 | 1.93 |  4.89 |
|  PSZ2 G337.14-25.98 |       |                   |  PSZ2 G337.14-25.98 |    57 |        67 | 19:14:38.2 | -59:28:02 | 0.264 |  7.83 |   1.53 |   1.77 | 19:14:28.6 | -59:28:19 |  0.26 |     6.58 |       0.51 |       0.47 |        45 | ACT-CL J1914.6-5928 | 19:14:38.2 | -59:28:02 |  0.26 |     7.83 |       1.53 |       1.77 |              |                    |               |           |        |        |             |          9.58 |          7.83 | 1.28 |  1.281784843648849 |  1.281784843648849 |  1.370933474972138 | 1.2095853249174056 |                    |  1.281784843648849 | 11.21 | 4.21 | 2.00 |  7.93 |
|  PSZ2 G340.36+60.58 |       |                   |  PSZ2 G340.36+60.58 |    48 |         7 | 14:01:01.8 | +02:52:32 | 0.252 | 15.23 |   2.98 |   3.44 | 14:01:00.7 | +02:52:14 |  0.25 |     9.75 |       0.40 |       0.36 |         4 | ACT-CL J1401.0+0252 | 14:01:01.8 | +02:52:32 |  0.25 |    15.23 |       2.98 |       3.44 | J1401.0+0252 | RXC J1401.0+0252   |  NORAS/REFLEX | 19.721872 |  10.50 |   1.42 |       13.90 |         12.75 |         15.23 | 1.49 | 1.6070712709678456 | 1.6070712709678456 | 1.5146253848517384 | 1.3850646382890317 |  1.558694265604892 | 1.6070712709678456 | 21.40 | 4.59 | 2.49 | 10.23 |
|  PSZ2 G341.16+34.81 |       |                   |  PSZ2 G341.16+34.81 |    52 |        31 | 15:00:50.7 | -18:16:31 |  0.39 | 10.42 |   0.65 |   0.64 | 15:00:50.7 | -18:16:31 |  0.39 |     7.42 |       0.65 |       0.64 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.42 |               | 1.38 |                    |                    | 1.3445275304534967 | 1.2006463216226557 |                    | 1.3506463216226556 | 14.69 | 4.52 | 2.08 |  6.37 |
|  PSZ2 G342.33-34.93 |   VHS |           MeerKAT |  PSZ2 G342.33-34.93 |    59 |        60 | 20:23:20.2 | -55:35:26 | 0.232 |  9.50 |   1.85 |   2.14 | 20:23:24.7 | -55:34:30 |  0.23 |     6.68 |       0.43 |       0.45 |        21 | ACT-CL J2023.3-5535 | 20:23:20.2 | -55:35:26 |  0.23 |     9.50 |       1.85 |       2.14 | J2023.4-5535 | RXCJ2023.4-5535    |  NORAS/REFLEX |  4.609207 |   4.40 |   1.07 |        7.80 |          9.68 |          9.50 | 1.34 | 1.3831294037537616 | 1.3831294037537616 | 1.3918103594835514 |  1.229930108462204 | 1.2949278035120728 | 1.3831294037537616 | 13.56 | 4.25 | 2.16 |  9.41 |
|  PSZ2 G347.17-27.36 |   VHS |                   |  PSZ2 G347.17-27.36 |    58 |        40 | 19:34:53.5 | -50:52:40 | 0.237 | 10.19 |   0.46 |   0.44 | 19:34:53.5 | -50:52:40 |  0.24 |     7.19 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            | J1934.7-5053 | RXCJ1934.7-5053    |  NORAS/REFLEX |  5.672293 |   4.97 |   1.11 |        8.37 |         10.19 |               | 1.40 |                    |                    | 1.4132787436288021 | 1.2581895172050557 |  1.323532288134114 | 1.4081895172050556 | 14.50 | 4.29 | 2.20 |  9.45 |
|  PSZ2 G348.90-67.37 |  P109 |           MeerKAT |  PSZ2 G348.90-67.37 |    62 |        39 | 23:25:12.2 | -41:11:45 | 0.358 |  7.62 |   1.41 |   1.61 | 23:25:08.2 | -41:12:42 |  0.36 |     7.19 |       0.45 |       0.49 |        49 | ACT-CL J2325.2-4111 | 23:25:12.2 | -41:11:45 |  0.36 |     7.62 |       1.41 |       1.61 |              |                    |               |           |        |        |             |         10.19 |          7.62 | 1.28 |   1.22628078148903 |   1.22628078148903 |  1.351023778594739 | 1.2027662365868916 |                    |   1.22628078148903 | 10.84 | 4.29 | 1.91 |  6.15 |
|    RXC J0600.1-2007 |  GCAV |                   |  PSZ2 G225.93-19.99 |       |           | 06:00:15.6 | -20:07:27 |  0.46 | 13.73 |   0.54 |   0.51 | 06:00:15.6 | -20:07:27 |  0.46 |    10.73 |       0.54 |       0.51 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         13.73 |               | 1.56 |                    |                    |  1.434486801784559 | 1.3213147559354008 |                    | 1.4713147559354007 | 19.05 | 4.91 | 2.21 |  6.13 |
|    RXC J1212.3-1816 |  HiLx |                   |                  -- |       |           | 12:12:18.9 | -18:16:44 | 0.269 |  8.23 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            | J1212.3-1816 | RXCJ1212.3-1816    |  NORAS/REFLEX |  5.644133 |   4.83 |   1.09 |        8.23 |               |               | 1.24 |                    |                    |                    |                    | 1.3010000670761546 | 1.2391999999999999 | 11.75 | 4.23 | 2.03 |  7.94 |
|    RXC J1314.4-2515 |  P109 |           MeerKAT |  PSZ2 G309.49+37.31 |    42 |        58 | 13:14:31.5 | -25:15:56 | 0.244 |  9.72 |   0.53 |   0.53 | 13:14:31.5 | -25:15:56 |  0.24 |     6.72 |       0.53 |       0.53 |           |                     |            |           |       |          |            |            | J1314.4-2515 | RXCJ1314.4-2515    |  NORAS/REFLEX |  9.892675 |   6.94 |   1.24 |       10.34 |          9.72 |               | 1.39 |                    |                    | 1.3876792837407212 |   1.22703450138156 | 1.4165415856055845 |   1.37703450138156 | 13.87 | 4.28 | 2.16 |  9.09 |
|    RXC J1347.5-1144 |  GCAV |         CLASH-VLT |  PSZ2 G324.04+48.79 |    46 |         5 | 13:47:32.7 | -11:45:45 | 0.452 | 14.03 |   0.61 |   0.57 | 13:47:32.7 | -11:45:45 |  0.45 |    11.03 |       0.61 |       0.57 |           |                     |            |           |       |          |            |            | J1347.5-1144 | RXCJ1347.5-1144    |  NORAS/REFLEX | 37.304424 |  13.18 |   1.42 |       16.58 |         14.03 |               | 1.58 |                    |                    | 1.4493875930665852 | 1.3376951521921772 | 1.5322930116888382 |  1.487695152192177 | 19.47 | 4.91 | 2.23 |  6.25 |
|    RXC J1504.1-0248 |  HiLx |                   |  PSZ2 G355.07+46.20 |    53 |        61 | 15:04:06.8 | -02:48:22 | 0.217 | 11.27 |   2.24 |   2.60 | 15:04:05.4 | -02:47:54 |  0.22 |     6.67 |       0.48 |       0.48 |        12 | ACT-CL J1504.1-0248 | 15:04:06.8 | -02:48:22 |  0.22 |    11.27 |       2.24 |       2.60 | J1504.1-0248 | RXCJ1504.1-0248    |  NORAS/REFLEX | 24.968847 |  12.47 |   1.52 |       15.88 |          9.67 |         11.27 | 1.46 | 1.4721055825680136 | 1.4721055825680136 | 1.3988564370578513 | 1.2359652647008228 | 1.6501961350876784 | 1.4721055825680136 | 16.04 | 4.32 | 2.29 | 10.53 |
|    RXC J1514.9-1523 |  GCAV |                   |  PSZ2 G346.61+35.06 |    54 |        11 | 15:15:00.5 | -15:21:23 | 0.223 | 11.86 |   0.46 |   0.41 | 15:15:00.5 | -15:21:23 |  0.22 |     8.86 |       0.46 |       0.41 |           |                     |            |           |       |          |            |            | J1514.9-1523 | RXCJ1514.9-1523    |  NORAS/REFLEX |  6.427656 |   5.42 |   1.15 |        8.82 |         11.86 |               | 1.42 |                    |                    | 1.4941394821970941 | 1.3557329549952029 | 1.3538533384937808 | 1.5057329549952028 | 16.85 | 4.36 | 2.33 | 10.46 |
|    RXC J2248.7-4431 |  GCAV | CLASH-VLT MeerKAT |  PSZ2 G349.46-59.95 |    61 |         3 | 22:48:49.2 | -44:31:40 | 0.351 | 18.97 |   3.55 |   4.05 | 22:48:51.6 | -44:31:33 |  0.35 |    11.36 |       0.34 |       0.34 |         0 | ACT-CL J2248.8-4431 | 22:48:49.2 | -44:31:40 |  0.35 |    18.97 |       3.55 |       4.05 | J2248.7-4431 | RXCJ2248.7-4431    |  NORAS/REFLEX | 27.166569 |  11.83 |   1.43 |       15.23 |         14.36 |         18.97 | 1.67 | 1.6664217193490847 | 1.6664217193490847 |  1.518730169849479 | 1.4046083662164224 |  1.548896459600796 | 1.6664217193490847 | 26.24 | 5.03 | 2.57 |  8.38 |
|    ZwCl 1021.0+0426 |  HiLx |                   |  PSZ2 G239.43+47.95 |    31 |        68 | 10:23:39.0 | +04:11:16 | 0.285 | 12.01 |   2.31 |   2.65 | 10:23:41.7 | +04:09:58 |  0.28 |     6.53 |       0.44 |       0.44 |        11 | ACT-CL J1023.6+0411 | 10:23:39.0 | +04:11:16 |  0.28 |    12.01 |       2.31 |       2.65 | J1023.6+0411 | RXC J1023.6+0411   |  NORAS/REFLEX | 18.098963 |   9.71 |   1.37 |       13.11 |          9.53 |         12.01 | 1.50 | 1.4668244251751783 | 1.4668244251751783 |  1.357984347527813 |   1.19720408783861 |  1.510362718582591 | 1.4668244251751783 | 16.98 | 4.46 | 2.28 |  8.56 |
