|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |  m500 |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |  m200 | c200 | r200 |  d200 |
|  PSZ2 G308.44+24.24 |       |                   |  PSZ2 G308.44+24.24 |    43 |        74 | 13:17:06.7 | -38:21:20 | 0.255 |   0.55 |   0.55 | 13:17:06.7 | -38:21:20 |  0.26 |     6.29 |       0.55 |       0.55 |           |                     |            |           |       |          |            |            |  8.48 | J1317.1-3821 | RXCJ1317.1-3821    |  NORAS/REFLEX |  7.145512 |   5.64 |   1.15 |        8.54 |          8.48 |               | 1.32 | 12.11 | 4.23 | 2.06 |  7.95 |
|  PSZ2 G309.43-72.86 |       |                   |  PSZ2 G309.43-72.86 |     0 |           | 00:40:49.6 | -44:07:56 |  0.35 |   1.92 |   2.18 | 00:40:46.6 | -44:07:58 |  0.35 |     5.82 |       0.57 |       0.54 |        19 | ACT-CL J0040.8-4407 | 00:40:49.6 | -44:07:56 |  0.35 |    10.29 |       1.92 |       2.18 | 10.29 |              |                    |               |           |        |        |             |          7.85 |         10.29 | 1.36 | 14.55 | 4.45 | 2.11 | 21.33 |
|  PSZ2 G313.33+61.13 |       |                   |  PSZ2 G313.33+61.13 |    41 |        13 | 13:11:30.8 | -01:19:55 | 0.201 |   2.83 |   3.30 | 13:11:26.4 | -01:20:10 |  0.18 |     8.77 |       0.34 |       0.34 |         5 | ACT-CL J1311.5-0119 | 13:11:30.8 | -01:19:55 |   0.2 |    14.06 |       2.83 |       3.30 | 14.06 | J1311.5-0120 | RXCJ1311.4-0120    |  NORAS/REFLEX | 12.524024 |   8.39 |   1.35 |       12.70 |         11.83 |         14.06 | 1.59 | 19.88 | 4.44 | 2.48 | 10.23 |
|  PSZ2 G313.84+19.21 |       |                   |  PSZ2 G313.84+19.21 |    45 |        59 | 13:47:32.6 | -42:27:37 | 0.282 |   0.55 |   0.54 | 13:47:32.6 | -42:27:37 |  0.28 |     6.69 |       0.55 |       0.54 |           |                     |            |           |       |          |            |            |  9.02 |              |                    |               |           |        |        |             |          9.02 |               | 1.34 | 12.86 | 4.29 | 2.08 |  8.46 |
|  PSZ2 G313.88-17.11 |       |                   |  PSZ2 G313.88-17.11 |    55 |        18 | 16:01:45.3 | -75:45:26 | 0.153 |   0.28 |   0.26 | 16:01:45.3 | -75:45:26 |  0.15 |     8.03 |       0.28 |       0.26 |           |                     |            |           |       |          |            |            | 10.83 | J1601.7-7544 | RXC J1601.7-7544   |  CIZA         |  8.707393 |   6.88 |   1.28 |       10.41 |         10.83 |               | 1.49 | 15.49 | 4.22 | 2.32 |  7.59 |
|  PSZ2 G314.96+10.06 |       |                   |  PSZ2 G314.96+10.06 |    49 |        51 | 14:07:36.1 | -51:01:15 | 0.097 |   0.29 |   0.31 | 14:07:36.1 | -51:01:15 |   0.1 |     6.83 |       0.29 |       0.31 |           |                     |            |           |       |          |            |            |  9.21 | J1407.8-5100 | RXC J1407.8-5100   |  CIZA         |  3.918665 |   4.40 |   1.12 |        6.66 |          9.21 |               | 1.43 | 13.23 | 4.11 | 2.24 |  9.43 |
|  PSZ2 G315.68-18.04 |       |                   |  PSZ2 G315.68-18.04 |    56 |        71 | 16:31:20.9 | -75:08:37 | 0.105 |   0.21 |   0.22 | 16:31:20.9 | -75:08:37 |   0.1 |     6.42 |       0.21 |       0.22 |           |                     |            |           |       |          |            |            |  8.66 | J1631.6-7507 | RXC J1631.6-7507   |  CIZA         |  3.829575 |   4.31 |   1.11 |        6.53 |          8.66 |               | 1.40 | 12.44 | 4.10 | 2.19 | 10.68 |
|  PSZ2 G323.30+63.66 |       |                   |  PSZ2 G323.30+63.66 |    44 |        70 | 13:27:01.4 | +02:12:13 |  0.26 |   1.28 |   1.48 | 13:26:59.4 | +02:12:42 |  0.26 |     6.42 |       0.45 |       0.42 |        71 | ACT-CL J1327.0+0212 | 13:27:01.4 | +02:12:13 |  0.26 |     6.47 |       1.28 |       1.48 |  6.47 |              |                    |               |           |        |        |             |          8.66 |          6.47 | 1.20 |  9.29 | 4.15 | 1.88 |  7.12 |
|  PSZ2 G325.70+17.34 |  P109 |                   |  PSZ2 G325.70+17.34 |    50 |        28 | 14:47:26.6 | -40:20:44 | 0.315 |   0.57 |   0.51 | 14:47:26.6 | -40:20:44 |  0.32 |     7.57 |       0.57 |       0.51 |           |                     |            |           |       |          |            |            | 10.21 |              |                    |               |           |        |        |             |         10.21 |               | 1.37 | 14.49 | 4.40 | 2.14 | 12.96 |
|  PSZ2 G333.89-43.60 |       |                   |  PSZ2 G333.89-43.60 |    60 |        62 | 21:37:49.7 | -60:07:12 | 0.318 |   0.51 |   0.47 | 21:37:49.7 | -60:07:12 |  0.32 |     6.66 |       0.51 |       0.47 |           |                     |            |           |       |          |            |            |  8.98 |              |                    |               |           |        |        |             |          8.98 |               | 1.32 | 12.78 | 4.33 | 2.05 | 18.38 |
|  PSZ2 G337.12-66.02 |  P107 |                   |  PSZ2 G337.12-66.02 |       |           | 23:35:05.4 | -45:42:28 | 0.547 |   0.59 |   0.56 | 23:35:05.4 | -45:42:28 |  0.55 |     7.12 |       0.59 |       0.56 |           |                     |            |           |       |          |            |            |  9.60 |              |                    |               |           |        |        |             |          9.60 |               | 1.23 | 13.46 | 4.72 | 1.90 | 15.92 |
|  PSZ2 G337.14-25.98 |       |                   |  PSZ2 G337.14-25.98 |    57 |        67 | 19:14:38.2 | -59:28:02 | 0.264 |   1.53 |   1.77 | 19:14:28.6 | -59:28:19 |  0.26 |     6.58 |       0.51 |       0.47 |        45 | ACT-CL J1914.6-5928 | 19:14:38.2 | -59:28:02 |  0.26 |     7.83 |       1.53 |       1.77 |  7.83 |              |                    |               |           |        |        |             |          8.88 |          7.83 | 1.28 | 11.21 | 4.21 | 2.00 |  8.02 |
|  PSZ2 G340.36+60.58 |       |                   |  PSZ2 G340.36+60.58 |    48 |         7 | 14:01:01.8 | +02:52:32 | 0.252 |   2.98 |   3.44 | 14:01:00.7 | +02:52:14 |  0.25 |     9.75 |       0.40 |       0.36 |         4 | ACT-CL J1401.0+0252 | 14:01:01.8 | +02:52:32 |  0.25 |    15.23 |       2.98 |       3.44 | 15.23 | J1401.0+0252 | RXC J1401.0+0252   |  NORAS/REFLEX | 19.721872 |  10.50 |   1.42 |       15.89 |         13.15 |         15.23 | 1.61 | 21.40 | 4.59 | 2.49 |  6.98 |
|  PSZ2 G341.16+34.81 |       |                   |  PSZ2 G341.16+34.81 |    52 |        31 | 15:00:50.7 | -18:16:31 |  0.39 |   0.65 |   0.64 | 15:00:50.7 | -18:16:31 |  0.39 |     7.42 |       0.65 |       0.64 |           |                     |            |           |       |          |            |            | 10.01 |              |                    |               |           |        |        |             |         10.01 |               | 1.33 | 14.15 | 4.50 | 2.06 |  7.22 |
|  PSZ2 G342.33-34.93 |   VHS |           MeerKAT |  PSZ2 G342.33-34.93 |    59 |        60 | 20:23:20.2 | -55:35:26 | 0.232 |   1.85 |   2.14 | 20:23:24.7 | -55:34:30 |  0.23 |     6.68 |       0.43 |       0.45 |        21 | ACT-CL J2023.3-5535 | 20:23:20.2 | -55:35:26 |  0.23 |     9.50 |       1.85 |       2.14 |  9.50 | J2023.4-5535 | RXCJ2023.4-5535    |  NORAS/REFLEX |  4.609207 |   4.40 |   1.07 |        6.65 |          9.01 |          9.50 | 1.38 | 13.56 | 4.25 | 2.16 |  7.51 |
|  PSZ2 G347.17-27.36 |   VHS |                   |  PSZ2 G347.17-27.36 |    58 |        40 | 19:34:53.5 | -50:52:40 | 0.237 |   0.46 |   0.44 | 19:34:53.5 | -50:52:40 |  0.24 |     7.19 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            |  9.70 | J1934.7-5053 | RXCJ1934.7-5053    |  NORAS/REFLEX |  5.672293 |   4.97 |   1.11 |        7.52 |          9.70 |               | 1.39 | 13.84 | 4.27 | 2.17 |  8.60 |
|  PSZ2 G348.90-67.37 |  P109 |           MeerKAT |  PSZ2 G348.90-67.37 |    62 |        39 | 23:25:12.2 | -41:11:45 | 0.358 |   1.41 |   1.61 | 23:25:08.2 | -41:12:42 |  0.36 |     7.19 |       0.45 |       0.49 |        49 | ACT-CL J2325.2-4111 | 23:25:12.2 | -41:11:45 |  0.36 |     7.62 |       1.41 |       1.61 |  7.62 |              |                    |               |           |        |        |             |          9.70 |          7.62 | 1.23 | 10.84 | 4.29 | 1.91 |  7.83 |
|    RXC J0600.1-2007 |  GCAV |                   |  PSZ2 G225.93-19.99 |       |           | 06:00:15.6 | -20:07:27 |  0.46 |   0.54 |   0.51 | 06:00:15.6 | -20:07:27 |  0.46 |    10.73 |       0.54 |       0.51 |           |                     |            |           |       |          |            |            | 14.47 |              |                    |               |           |        |        |             |         14.47 |               | 1.46 | 20.09 | 4.97 | 2.25 |  9.69 |
|    RXC J1212.3-1816 |  HiLx |                   |                  -- |       |           | 12:12:18.9 | -18:16:44 | 0.269 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |  7.31 | J1212.3-1816 | RXCJ1212.3-1816    |  NORAS/REFLEX |  5.644133 |   4.83 |   1.09 |        7.31 |               |               | 1.25 | 10.47 | 4.19 | 1.95 |  5.96 |
|    RXC J1314.4-2515 |  P109 |           MeerKAT |  PSZ2 G309.49+37.31 |    42 |        58 | 13:14:31.5 | -25:15:56 | 0.244 |   0.53 |   0.53 | 13:14:31.5 | -25:15:56 |  0.24 |     6.72 |       0.53 |       0.53 |           |                     |            |           |       |          |            |            |  9.07 | J1314.4-2515 | RXCJ1314.4-2515    |  NORAS/REFLEX |  9.892675 |   6.94 |   1.24 |       10.50 |          9.07 |               | 1.36 | 12.94 | 4.25 | 2.11 |  9.22 |
|    RXC J1347.5-1144 |  GCAV |         CLASH-VLT |  PSZ2 G324.04+48.79 |    46 |         5 | 13:47:32.7 | -11:45:45 | 0.452 |   0.61 |   0.57 | 13:47:32.7 | -11:45:45 |  0.45 |    11.03 |       0.61 |       0.57 |           |                     |            |           |       |          |            |            | 14.88 | J1347.5-1144 | RXCJ1347.5-1144    |  NORAS/REFLEX | 37.304424 |  13.18 |   1.42 |       19.95 |         14.88 |               | 1.48 | 20.62 | 4.98 | 2.28 | 10.24 |
|    RXC J1504.1-0248 |  HiLx |                   |  PSZ2 G355.07+46.20 |    53 |        61 | 15:04:06.8 | -02:48:22 | 0.217 |   2.24 |   2.60 | 15:04:05.4 | -02:47:54 |  0.22 |     6.67 |       0.48 |       0.48 |        12 | ACT-CL J1504.1-0248 | 15:04:06.8 | -02:48:22 |  0.22 |    11.27 |       2.24 |       2.60 | 11.27 | J1504.1-0248 | RXCJ1504.1-0248    |  NORAS/REFLEX | 24.968847 |  12.47 |   1.52 |       18.88 |          9.00 |         11.27 | 1.47 | 16.04 | 4.32 | 2.29 |  9.85 |
|    RXC J1514.9-1523 |  GCAV |                   |  PSZ2 G346.61+35.06 |    54 |        11 | 15:15:00.5 | -15:21:23 | 0.223 |   0.46 |   0.41 | 15:15:00.5 | -15:21:23 |  0.22 |     8.86 |       0.46 |       0.41 |           |                     |            |           |       |          |            |            | 11.95 | J1514.9-1523 | RXCJ1514.9-1523    |  NORAS/REFLEX |  6.427656 |   5.42 |   1.15 |        8.21 |         11.95 |               | 1.50 | 16.95 | 4.36 | 2.33 |  7.51 |
|    RXC J2248.7-4431 |  GCAV | CLASH-VLT MeerKAT |  PSZ2 G349.46-59.95 |    61 |         3 | 22:48:49.2 | -44:31:40 | 0.351 |   3.55 |   4.05 | 22:48:51.6 | -44:31:33 |  0.35 |    11.36 |       0.34 |       0.34 |         0 | ACT-CL J2248.8-4431 | 22:48:49.2 | -44:31:40 |  0.35 |    18.97 |       3.55 |       4.05 | 18.97 | J2248.7-4431 | RXCJ2248.7-4431    |  NORAS/REFLEX | 27.166569 |  11.83 |   1.43 |       17.91 |         15.32 |         18.97 | 1.67 | 26.24 | 5.03 | 2.57 |  8.38 |
|    ZwCl 1021.0+0426 |  HiLx |                   |  PSZ2 G239.43+47.95 |    31 |        68 | 10:23:39.0 | +04:11:16 | 0.285 |   2.31 |   2.65 | 10:23:41.7 | +04:09:58 |  0.28 |     6.53 |       0.44 |       0.44 |        11 | ACT-CL J1023.6+0411 | 10:23:39.0 | +04:11:16 |  0.28 |    12.01 |       2.31 |       2.65 | 12.01 | J1023.6+0411 | RXC J1023.6+0411   |  NORAS/REFLEX | 18.098963 |   9.71 |   1.37 |       14.70 |          8.81 |         12.01 | 1.47 | 16.98 | 4.46 | 2.28 | 10.46 |
